字,音,康熙笔画,字典笔画,笔画差,五行,音调,字意,候选
互,,4,4,0,水,,温和伶俐,2
左,,5,5,0,火,,足智多谋，有胆有识，一生清雅荣贵，温和隆昌，忌车怕水之字。,1
右,,5,5,0,土,,学识丰富，克己助人，中年成功隆昌，官格之命，操守廉正之字。,1
央,,5,5,0,土,,一生清雅荣幸，多才巧智，中年有爱情厄，晚年隆昌之字。,1
生,,5,5,0,金,,智勇双全，出外逢贵得财，中年成功隆昌，荣贵之字。,2
由,,5,5,0,土,,英雄豪爽，清雅多才，双妻之格，中年隆倡之字。,2
古,,5,5,0,木,,温和贤淑，食禄双全，中年奔波或劳苦，晚年安祥之字。,1
民,,5,5,0,水,,英俊佳人，上下教睦，一生官或财旺之字。,2
正,,5,5,0,金,,才智卓越，精明公正，官运旺或财旺，刑偶伤子之字。,1
弘,,5,5,0,水,,口快心直，一生清雅，忌车怕水，中年多灾，晚年隆昌之字。,1
布,,5,5,0,水,,温和慈祥，但多灾厄，忌车怕水，中年劳，晚年吉祥之字。,1
代,,5,5,0,火,,清秀伶俐，小巧多才，晚婚大吉，出外逢贵，上下敦睦，温和字。,2
史,,5,5,0,金,,一生福禄有余，中年多厄，晚年隆昌，吉祥之字。,1
用,,5,5,0,土,,忧心劳神，温和机警，奔波后成功隆昌，子孙兴旺之字。,1
平,,5,5,0,水,,教育界大吉，一生安稳守己，克己助人，温和贤淑之字。,1
加,,5,5,0,木,,技术界大吉，出外大吉，中年奔波，晚年隆昌，幸福之字。,1
皮,,5,5,0,水,,奔波劳苦或事劳无功，一生多灾厄，难幸福之字。,1
旦,,5,5,0,火,,贵人明现，子孙兴旺，多才巧智，环境良好之字。,2
只,,5,5,0,火,,忧心劳神，二子吉祥，中年多灾厄，晚年吉祥之字。,1
吉,,5,6,-1,木,,幼年多灾，忌火，有才能理智，食禄齐美，成功，隆昌之字。,1
卉,,5,5,0,木,,忧心劳神，损丁破财源，潦倒一生，难幸福，忌车怕水之字。,1
册,,5,5,0,金,,良善积德，环境良好，有人缘，中年成功隆昌之字。,2
玉,,5,5,0,木,,智勇双全，名利双收，荣贵隆昌，女人病弱短寿，或爱情厄欠子之字。,1
丕,,5,5,0,水,,清雅伶俐，温和诚实，迟婚大吉，一生清闲幸福之字。,2
付,,5,5,0,水,,中年隆昌，身体不利或欠子厄。,1
可,,5,5,0,木,,福禄双收，天生聪颖，离祖成功，双妻之格，晚年隆昌之字。,1
甲,,5,5,0,木,,一生清雅伶俐，温和贤淑，中年成功隆昌，环境良好之字。,2
玄,,5,5,0,水,,性格复杂，中年离乱，晚年吉祥，子孙繁荣，官运旺之字。,1
永,,5,5,0,土,,克父命，出外逢贵得财，中年奔波，晚年隆昌，荣幸之字。,1
主,,5,5,0,金,,兄弟无靠，一生清雅多智，环境良好隆昌。,1
申,,5,5,0,金,,一生清雅荣贵，多才巧智，中年成功隆昌之字。,2
仕,,5,5,0,金,,义利分明，多才巧智，中年成功隆昌，晚年劳神多疾之字。,1
丙,,5,5,0,火,,英俊佳人，环境良好，中年成功，隆昌官格之字。,2
冬,,5,5,0,火,,中年多灾厄，晚年享福之字。,1
世,,5,5,0,金,,操守廉正，福禄双收；中年勤俭建业，晚年隆昌之字。,2
市,,5,5,0,金,,幼年辛苦，少年千难，中年平凡，晚年隆昌，女人薄幸之字。,1
刊,,5,5,0,金,,中年劳，晚年福，女人多灾厄再嫁守寡。,1
四,,5,5,0,金,,纪年辛苦，义利分明，中年奔波，忌车怕水之字。,1
白,,5,5,0,水,,清秀荣华，智勇双全，中年成功，有爱情厄，晚年吉祥之字。,1
王,,5,4,1,土,,一生清雅荣华，双妻之格，中年奔波，成功昌隆之字。,1
立,,5,5,0,火,,病弱短寿，少年千难，中年隆昌，二字吉祥，忌车祸之字。,1
司,,5,5,0,金,,妻贤子贵；天赐福禄、一生清雅荣贵，成功隆昌之字。,2
田,,5,5,0,火,,福寿兴家，才能理智兼备，中年劳累，晚年隆昌，环境良好之字。,1
包,,5,5,0,水,,一生清雅伶俐，谋略出众，中年成功隆昌晚年劳神之字。,1
日,,5,4,1,火,,忧心劳神，浮沉不定，中年多灾厄，晚年吉祥，虽成功亦劳神。,1
必,,5,5,0,水,,身弱奔波，出外吉祥，晚婚大吉，事业如意。,1
功,,5,5,0,木,,父母无缘，孤独奔波，一生清雅荣贵，多才巧智，晚年劳神之字。,1
出,,5,5,0,金,,性刚果断．中年多灾，晚年吉祥，忌车怕水之字。,1
叮,,5,5,0,火,,忧心劳神，劳累奔波，晚年幸福之字。,1
仟,,5,5,0,金,,清雅荣贵，环境良好，中年成功隆昌，晚年子孙兴旺之字。,2
以,,5,4,1,土,,聪明伶俐，一生清闲享福，中年成功隆昌，欠子之字。,1
禾,,5,5,0,水,,出国之格，一生衣厚食丰，清雅英俊，中年成功隆昌之字。,2
瓜,,5,5,0,木,,忧心劳神，孤独格，中年多灾厄，晚年吉祥之字。,1
夯,,5,5,0,水,,幼年辛苦，忌车怕水，中年奔波或多劳，晚年吉祥之字。,1
尻,,5,5,0,金,,出外大吉，多刑克之字，中年开运，晚年吉祥之字。,1
本,,5,5,0,木,,温和贤淑，环境良好，一生平凡，中年多灾，晚年吉祥之字。,1
弃,,5,7,-2,木,,有才能谋略，事业成功，感情失败，晚年享福之字。,1
甘,,5,5,0,木,,一生多才巧智，中年多厄，晚年隆昌，名利双收豪爽之字。,1
丘,,5,5,0,木,,智勇双金，环境良好，中年成功隆昌，晚年劳神之字。,1
且,,5,5,0,金,,义利分明，一生清雅，名利双收，二子吉祥之字。,2
仔,,5,5,0,土,,忧心劳神，一生难如愿，中年多灾厄，晚年吉祥之字。,1
他,,5,5,0,火,,出外逢贵得财，温和多才，但忌车怕水。,1
令,,5,5,0,火,,英雄豪爽，上下敦睦，中年虽奔波，但成功隆昌，温和之字。,1
半,,5,5,0,水,,多愁善感，不惹是非，中年劳，晚年福，女人半夫半财。,1
兄,,5,5,0,水,,口快心直，奔波劳苦，保守平凡，中年吉祥之字。,1
矛,,5,5,0,水,,性刚果断，中年劳累，晚年吉祥之字。,1
正,,5,5,0,金,,身闲心苦，或事劳无功，刑偶伤子，有爱情厄，晚福之字。,1
瓦,,5,4,1,土,,身犯破，忧心劳神，中年劳累身弱，晚年隆昌之字。,1
北,,5,5,0,水,,环境良好，一生清雅荣贵，中年成功隆昌，晚年劳神之字。,1
卯,,5,5,0,木,,刑偶或欠子，清雅温和，重情重义，中年多灾，晚年隆昌。,1
句,,5,5,0,木,,衣食丰足，肯作肯劳，重信用，中年劳累，晚年隆昌之字。,1
召,,5,5,0,火,,带刀厄，多刑克或刑偶欠子，中年成功隆昌，离祖成功之字。,1
幼,,5,5,0,土,,多灾厄，难关重重，晚年可有好运。,1
弗,,5,5,0,水,,多刑克，幼年辛苦，中年有成就。,1
未,,5,5,0,木,,忧心劳神或多疾病，中年多厄，晚年隆昌之字。,1
末,,5,5,0,水,,少乐多愁，中年多灾厄，忌车怕水，晚年吉祥之字。,1
示,,5,5,0,金,,聪颖理智，一生清雅荣贵，二子吉祥之字。,2
皿,,5,5,0,水,,刑偶伤子，一生清雅多才，中年薄幸，晚年吉祥之字。,1
石,,5,5,0,金,,刑偶伤子，命硬，中年劳累或奔波，晚年吉祥之字。,1
外,,5,5,0,木,,刑偶伤子，双妻之格，出外得财，中年劳，晚年吉祥之字。,1
巨,,5,4,1,木,,怀才不遇或忧心劳神，外观幸福，内心多愁，晚年子福之字。,1
匆,,5,5,0,水,,忧心劳神，一生多灾厄，或身弱多病，难幸福，多灾之字。,1
母,,5,5,0,水,,刑克父母，幼年辛苦，中年成功隆昌，晚年忧心劳神之字。,1
台,,5,5,0,火,,一生清雅，技术大吉，中年奔波，成功隆昌，晚年享福之字。,1
尼,,5,5,0,火,,事难如愿，中年忧心劳神，晚年吉祥之字。,1
戊,,5,5,0,土,,性刚果断，一生清雅多才，中年有爱性厄，晚年吉祥之字。,1
札,,5,5,0,木,,聪敏佳人，一生清雅荣贵，中年成功隆昌，双妻之字。,2
矢,,5,5,0,金,,性刚果断，或事劳无功，多刑克之字，但子孙兴旺。,1
穴,,5,5,0,水,,安稳守己，环境良好，有才能理智，成功隆昌，二子吉祥之字。,2
另,,5,5,0,火,,出外逢贵得财，克母命，福禄双收，中年奔波，晚年成功。,1
失,,5,5,0,金,,忧动劳神，沉浮不定，刑妻伤干，一生难幸福，或多病疾之字。  ,1
奴,,5,5,0,火,,多愁多优，身闲心苦，晚年吉祥之字。,1
巧,,5,5,0,木,,少年千难，忌车怕水，中年劳，晚婚青，晚年吉祥之字。,1
去,,5,5,0,木,,消极不吉，一生清雅，多灾厄，中年小心，晚年吉祥之字。,1
求,,5,7,-2,火,,一贫如洗，一生难幸福，多灾厄，子福之字。,1
水,,5,4,1,水,,清雅伶俐，晚婚吉祥，中年劳累，晚年大吉祥，女人多灾之字。,1
冉,,5,5,0,火,,清雅伶俐，多才巧智，义利分明，中年有病厄，一生安稳之字。,1
充,,5,6,-1,土,,奔波劳苦，温和贤能，出外大吉，中年成功隆昌之字。,1
打,,6,5,1,火,,事劳无功或怀才不遇，中年苦中得甘，子孙兴旺之字。,1
字,,6,6,0,金,,有爱情烦恼，安分守己，中年有灾厄，晚年吉昌之字。,1
圭,,6,6,0,土,,天性聪颖，多才巧智，义利分明，刑偶伤子，中年劳累，晚年成功之字。,1
伍,,6,6,0,土,,英俊佳人，理智充足，中年勤俭励业，名利双收，荣幸之字。,2
亘,,6,6,0,火,,出国之字，智勇双全，义利分明，中年成功，隆昌之字。,2
好,,6,6,0,水,,秀气伶俐，上下敦睦，有才能理意，温和贤淑，一生幸福之字。,2
休,,6,6,0,水,,忧心劳神，或身弱多厄，中年潦倒，难成功，晚年子福之字。,1
伏,,6,6,0,水,,英雄气魄，一生性刚有美德，中年多灾，晚年隆昌之字。,1
变,,6,8,-2,水,,多刑克，身弱多病，性刚多灾，中年劳心，难成功之字。,1
亦,,6,6,0,土,,出国之格，出外逢贵得财，中年成功，隆昌荣贵之字。,2
次,,6,6,0,金,,身瘦或体弱，出外大吉，技术成功，多方温和之字。,1
守,,6,6,0,金,,刑偶伤子，精明公正，中年隆昌，女人薄幸，疾病多灾。,1
旭,,6,6,0,木,,幼年辛苦，出外吉祥，中年奔波，但成功隆昌，子孙昌盛之字。,1
行,,6,6,0,水,,温和贤能，清雅伶俐，中年病厄，晚年隆昌之字。,1
宇,,6,6,0,土,,一生清雅平凡，中年奔波劳苦，智慧聪颖，忌车怕水，晚年吉祥之字。,1
价,,6,6,0,木,,克父命，多才巧智，清雅伶俐，二子吉祥，晚年隆昌之字。,1
吉,,6,6,0,木,,不吉之字，忧心劳神。或牢狱之灾，或有爱情厄，晚年吉祥之字。,1
兆,,6,6,0,火,,出国之字，清雅荣贵，天生聪颖，中年成功隆昌，名利双收，忌车怕水之字。,1
如,,6,6,0,金,,理智聪颖，多才温和，有爱情烦恼，中年多厄，秀气短寿之字。,1
仿,,6,6,0,水,,贵人明现，一生清雅伶俐，中年劳苦或多灾，晚年安宁幸福之字。,1
仰,,6,6,0,木,,聪明伶俐，多才巧智，交际巧妙，中年成功隆昌，晚年子孙繁荣。,2
在,,6,6,0,金,,奔波劳苦，或性刚果断，中年多灾厄，晚年隆昌，名利双收之字。,1
而,,6,6,0,金,,出国之字，秀气英俊，中年成功隆昌，多才伶俐，荣贵之字。,2
老,,6,6,0,火,,一生清雅平凡，中年多灾或多劳，晚年吉祥之字。,1
向,,6,6,0,水,,衣厚食丰，清雅平凡，中年忧心劳神，晚年吉祥之字。,1
合,,6,6,0,水,,环境良好，一生清雅温和，中年励业，晚年成功隆昌之字。,2
自,,6,6,0,火,,有爱情厄，少年千难，中年劳苦，或病弱，晚年吉祥之字。,1
西,,6,6,0,金,,事劳无功，或忧心劳神，中年隆昌，村九岁到卅一岁小心，晚年隆昌。,1
伐,,6,6,0,水,,百事苦劳，一生清雅平凡，刑偶伤子，有子亦孝，晚年吉祥之字。,1
匡,,6,6,0,木,,刑克父母，幼年辛苦，中年成功隆昌，晚年忧心劳神之字。,1
至,,6,6,0,火,,英雄嚎慨，性刚多厄，中年多灾，晚年吉祥幸福之字。,1
竹,,6,6,0,木,,一生清雅伶俐，多才巧智，中年隆昌，晚年子孙旺盛之字。,2
尖,,6,6,0,火,,刑偶伤子，多刑克，吉凶参半，晚年隆昌之字。,1
曲,,6,6,0,木,,理智聪颖，多才温和，有爱情厄，中年奔波或劳苦，晚年吉祥。,1
共,,6,6,0,木,,环境良好，一生清雅荣贵，二子吉祥，中年成功隆昌。,2
仲,,6,6,0,火,,性刚灵活机敏，中年有灾厄，晚年吉昌双妻之字。,1
汀,,6,5,1,水,,身弱多病，或少乐多愁，中年劳，晚年吉祥之字。,1
舟,,6,6,0,金,,浮沉不定，是非参半，晚婚大吉，中年多灾，晚年吉祥之字。,1
再,,6,6,0,金,,多才巧智，贵人出现，中年成功隆昌，荣贵，女人薄幸多灾厄之字。,1
存,,6,6,0,金,,天生聪颖，义利分明，子孙兴旺，中年劳，晚年隆昌之罕。,1
夷,,6,6,0,土,,性刚果断或口快心直，有杀人被杀或牢狱之灾。,1
夙,,6,6,0,金,,出国之格，天生聪颖，多才巧智，有爱情厄，中年成功，隆昌之字。,1
色,,6,6,0,金,,忧心劳神或身犯破，少年千难，口快心直，中年多厄，晚年幸福之字。,1
早,,6,6,0,金,,环境良好，一生清雅秀气，二子吉祥，晚年忧心劳神。,1
式,,6,6,0,金,,理智才气具有，但中年多灾厄，晚年荣幸之字。,1
先,,6,6,0,金,,出外逢贵得财，中年劳晚年吉祥，荣幸之字。,1
冈,,6,4,2,水,,忧心劳神，少年千难，中年隆昌，晚年忧心劳神之字。,1
争,,6,6,0,火,,多才巧智，清雅荣贵，福禄双收，出国之格，隆昌之字。,2
灯,,6,6,0,火,,忧心劳神，或事劳无功，中年多灾或苦，晚年安祥之字。,1
光,,6,6,0,火,,一生清雅荣贵，晚婚吉，出外逢贵得财，中年晚年吉祥。,2
伎,,6,6,0,木,,忧心劳神或病弱短寿，一生苦劳，或多灾难幸福之字。,1
冲,,6,6,0,金,,多刑克，不祥之字，一生病弱难幸福之字。,1
丞,,6,6,0,金,,理智聪颖，胆识丰富，一生清雅伶俐，成功荣贵之字。,2
伉,,6,6,0,木,,多愁多优，百事苦劳，中年多灾厄，晚年隆昌之字。,1
刑,,6,6,0,水,,多刑克，或忧心劳神，事劳无功，一生灾厄，难幸福之字。,1
劣,,6,6,0,火,,不祥之字，孤独劳苦或多相克，中年多灾厄，晚年子福之字。,1
企,,6,6,0,木,,环境良好，坚实温和，中年成功隆昌，清雅荣贵之字。,2
凶,,6,4,2,水,,不祥之字，夜路无光，杀人被杀，牢狱之灾，难幸福。,1
列,,6,6,0,金,,性刚果断或幼年辛苦，中年多劳，出外大吉，晚年隆昌之字。,1
羽,,6,6,0,土,,秀气伶俐，一生温和贤淑，中年成功，名利双收之字。,2
血,,6,6,0,水,,一生清雅伶俐，刑偶欠子，中年有爱情厄一，晚年安稳之字。,1
系,,6,7,-1,金,,有爱情厄，温和诚实，清雅秀气，中年劳，晚年吉昌。,1
匠,,6,6,0,火,,刑克父母，少年千难，中年多劳，多才巧智，晚年成功隆昌之字。,1
后,,6,6,0,水,,衣厚食丰，一表人材，多才多艺，清雅荣贵，中年成功隆昌之字。,2
名,,6,6,0,水,,出外逢贵得财，中年奔波劳苦，但利双收，晚年吉祥之字。,1
回,,6,6,0,水,,环境良好，朴素有美德，中年成功隆昌，晚年身弱之字。,1
地,,6,6,0,土,,一生清雅，刑偶欠子或刑克父母，中年隆昌，但有病厄或劫，晚年吉祥。,1
寺,,6,6,0,金,,刑偶伤子，或事劳无功，中年清雅荣贵，晚年吉祥之字。,1
吐,,6,6,0,土,,福禄双收，温和诚实，中年多灾厄，晚年成功隆昌之字。,1
吏,,6,6,0,金,,有才能智慧，难遇知己，中年劳苦，晚年安祥之字。,1
各,,6,6,0,木,,性刚果断，心直口快，中年劳苦，晚年吉祥之字。,1
因,,6,6,0,土,,多劳受苦，或忧心劳神；性刚有牢狱之厄，或离乱之灾，晓福之字。,1
多,,6,6,0,火,,克服万难后，成功发达，多才贤能，重情失败，晚年隆昌之字。,1
耳,,6,6,0,火,,幼年辛苦，中年多灾，晚年享福。,1
舌,,6,6,0,,,一生多劳苦，或身弱多病，中年多灾，晚年隆昌之字。,1
亥,,6,6,0,水,,清雅伶俐，出外逢贵得财，中年劳，晚年隆昌，环境良好之字。,1
妃,,6,6,0,水,,清雅贵气，理智聪颖，一生清闲享福，晚年劳神之字。,1
宅,,6,6,0,火,,出外吉祥，一生多才贤能，子孙旺盛，中年成功，晚年吉祥之字。,1
帆,,6,6,0,水,,有爱情厄，中年劳或奔波，晚年隆昌，英俊之字。,1
戎,,6,6,0,木,,多愁善感，或性刚果断，一生多灾厄，晚年虽吉亦劳神。,1
旬,,6,6,0,金,,晚婚迟得子大吉，身弱清秀，多才贤能，晚年隆昌之字。,1
采,,6,8,-2,火,,清秀灵巧，天生聪颖，幼年辛苦，中年成功隆昌，二于吉祥之字。,1
灰,,6,6,0,土,,日传动直，性刚果断，中年多灾厄，晚年吉祥，子福之字。,1
戌,,6,6,0,土,,英俊灵活，多才巧智，幼年辛苦，中年隆昌，欠子或犯破。,1
曳,,6,6,0,金,,性刚果断，一生难如愿，潦倒或困苦，晚年吉祥，幸福之字。,1
庄,,6,6,0,金,,口快心直，一生奔波大吉，中年多劳但隆昌，晚年荣幸之字。,1
收,,6,6,0,水,,忧心劳神，一生劳苦，或潦倒多灾厄，妇女守寡再嫁。,1
旨,,6,6,0,火,,晚婚迟得子大吉，中年多劳，晚年吉祥之字。,1
朱,,6,6,0,木,,清雅伶俐，天生聪颖，多才巧智，中年隆昌，有爱情厄，晚年吉祥之字。,1
此,,6,6,0,金,,奔放劳苦，难望如愿，命途多舛，或潦倒，晚年子福之字。,1
牧,,6,8,-2,水,,性刚果断，自我心强，有牢狱之灾，中年多灾厄，晚年吉祥之字。,1
考,,6,6,0,木,,一生清雅平凡，出外吉祥，中年劳苦，晚年成功隆昌之字。,1
肉,,6,6,0,火,,一生清雅平安，清闲伶俐，中年虽劳，晚年吉祥隆昌之字。,1
虫,,6,6,0,火,,一生清雅平凡，保守之格，聪明才干，中年困苦，晚福之字。,1
衣,,6,6,0,土,,出外吉祥，忧心神中多灾厄，晚年吉祥之字。,1
任,,6,6,0,金,,环境良好，有官格之字，兴识渊博，中年成功隆昌之字。,2
有,,6,6,0,土,,半财之格，一生清雅伶俐，性刚，中年劳苦，晚年隆昌之字。,1
良,,6,7,-1,火,,性刚出外大吉，一生清雅，中年劳或多灾厄，晚年吉祥之字。,1
百,,6,6,0,水,,理智聪颖，食禄齐美一生，多才巧智，成功隆昌，环境良好之字。,2
羊,,6,6,0,土,,一生清雅温和，晚婚迟得子大吉，中年奔波，晚年吉祥之字。,1
米,,6,6,0,水,,天生聪颖，多才巧智，出外大吉，中年平凡，晚年隆昌之字。,2
同,,6,6,0,火,,清雅多才，温和贤能中年劳，晚年隆昌。,1
臣,,6,6,0,金,,清雅伶仟，多才巧智，精明公正，义于分明，中年多厄，晚年隆昌。,1
伊,,6,6,0,土,,一生清雅荣贵，理智聪颖，中年成功隆昌，上下敦睦荣幸之字。,2
州,,6,6,0,金,,克父命，或克偶伤子，中年多灾厄，晚年吉祥之字。,1
年,,6,6,0,火,,克父母，一生多才多能，中年劳苦，晚年成功或隆昌。,1
